date,open,high,low,close,volume,dividend,split
2015-01-05,10.489999771118164,10.5,10.279999732971191,10.350000381469727,3574000,0,1
2015-01-06,10.25,10.289999961853027,10.119999885559082,10.15999984741211,6329000,0,1
2015-01-07,10.149999618530273,10.270000457763672,10.079999923706055,10.180000305175781,3438000,0,1
2015-01-08,10.25,10.5,10.220000267028809,10.5,7638000,0,1
2015-01-09,10.510000228881836,10.529999732971191,10.390000343322754,10.420000076293945,7124000,0,1
2015-01-12,10.420000076293945,10.479999542236328,10.3100004196167,10.430000305175781,2502000,0,1
2015-01-13,10.399999618530273,10.4399995803833,10.329999923706055,10.4399995803833,4010000,0,1
2015-01-14,10.4399995803833,10.449999809265137,10.279999732971191,10.279999732971191,5375000,0,1
2015-01-15,10.350000381469727,10.380000114440918,10.239999771118164,10.350000381469727,3218000,0,1
2015-01-16,10.279999732971191,10.300000190734863,10.1899995803833,10.25,4063000,0,1
2015-01-19,10.300000190734863,10.350000381469727,10.180000305175781,10.1899995803833,3267400,0,1
2015-01-20,10.25,10.329999923706055,10.210000038146973,10.319999694824219,2652800,0,1
2015-01-21,10.34000015258789,10.350000381469727,10.260000228881836,10.34000015258789,2641300,0,1
2015-01-22,10.34000015258789,10.430000305175781,10.319999694824219,10.399999618530273,4043200,0,1
2015-01-23,10.449999809265137,10.470000267028809,10.420000076293945,10.460000038146973,4769000,0,1
2015-01-26,10.460000038146973,10.5,10.420000076293945,10.470000267028809,3802000,0,1
2015-01-27,10.5,10.5,10.34000015258789,10.4399995803833,5248200,0,1
2015-01-28,10.449999809265137,10.5,10.40999984741211,10.5,3776500,0,1
2015-01-29,10.430000305175781,10.489999771118164,10.380000114440918,10.470000267028809,3333400,0,1
2015-01-30,10.5,10.569999694824219,10.399999618530273,10.399999618530273,9568400,0,1
2015-02-02,10.399999618530273,10.510000228881836,10.399999618530273,10.510000228881836,5992800,0,1
2015-02-03,10.479999542236328,10.539999961853027,10.460000038146973,10.520000457763672,3266600,0,1
2015-02-04,10.520000457763672,10.630000114440918,10.5,10.579999923706055,5359000,0,1
2015-02-05,10.59000015258789,10.600000381469727,10.489999771118164,10.489999771118164,3716900,0,1
2015-02-06,10.5600004196167,10.600000381469727,10.520000457763672,10.5600004196167,2802800,0,1
2015-02-09,10.550000190734863,10.630000114440918,10.550000190734863,10.609999656677246,3396700,0,1
2015-02-10,10.640000343322754,10.649999618530273,10.59000015258789,10.600000381469727,2522800,0,1
2015-02-11,10.630000114440918,10.630000114440918,10.489999771118164,10.600000381469727,3143500,0,1
2015-02-12,10.640000343322754,10.640000343322754,10.5,10.529999732971191,5421900,0,1
2015-02-13,10.59000015258789,10.59000015258789,10.359999656677246,10.390000343322754,8716800,0,1
