date,open,high,low,close,volume,dividend,split
2015-01-05,105.3499984741211,105.55000305175781,103.86000061035156,104.0999984741211,5383500,0,1
2015-01-06,104.4000015258789,104.5,102.51000213623047,103.08000183105469,4226100,0,1
2015-01-07,104.08999633789062,104.44999694824219,103.55000305175781,104.30999755859375,3661500,0,1
2015-01-08,105.20999908447266,106.23999786376953,105.11000061035156,106.1500015258789,2796200,0,1
2015-01-09,106.31999969482422,106.3499984741211,104.91999816894531,105.2699966430664,3272500,0,1
2015-01-12,105.55000305175781,105.55000305175781,104.12000274658203,104.5199966430664,3705900,0,1
2015-01-13,105.33000183105469,106.0,103.43000030517578,104.27999877929688,2936200,0,1
2015-01-14,103.04000091552734,103.79000091552734,102.5,103.70999908447266,3291600,0,1
2015-01-15,104.05000305175781,104.26000213623047,102.56999969482422,102.66000366210938,5615200,0,1
2015-01-16,102.61000061035156,104.11000061035156,102.41999816894531,104.0199966430664,2768900,0,1
2015-01-20,104.41999816894531,104.52999877929688,103.19999694824219,104.16999816894531,3186900,0,1
2015-01-21,103.93000030517578,104.94999694824219,103.5999984741211,104.63999938964844,3119400,0,1
2015-01-22,105.23999786376953,106.30999755859375,104.2699966430664,106.2300033569336,3583500,0,1
2015-01-23,106.11000061035156,106.27999877929688,105.68000030517578,105.75,4571900,0,1
2015-01-26,105.75,106.22000122070312,105.19999694824219,106.19000244140625,4106500,0,1
2015-01-27,105.37000274658203,105.61000061035156,104.36000061035156,104.94999694824219,2709300,0,1
2015-01-28,105.63999938964844,105.72000122070312,103.41000366210938,103.52999877929688,2830400,0,1
2015-01-29,103.69999694824219,104.62000274658203,102.81999969482422,104.5199966430664,2607200,0,1
2015-01-30,103.66999816894531,104.51000213623047,102.94999694824219,103.0999984741211,4486900,0,1
2015-02-02,103.48999786376953,104.33000183105469,102.25,104.26000213623047,4083200,0,1
2015-02-03,104.9000015258789,105.87000274658203,104.70999908447266,105.86000061035156,3322000,0,1
2015-02-04,105.44000244140625,106.13999938964844,105.23999786376953,105.48999786376953,3141700,0,1
2015-02-05,105.94000244140625,106.72000122070312,105.83999633789062,106.6500015258789,3163500,0,1
2015-02-06,106.87999725341797,107.18000030517578,106.0199966430664,106.33000183105469,2844500,0,1
2015-02-09,105.98999786376953,106.3499984741211,105.58999633789062,105.80000305175781,1773800,0,1
2015-02-10,106.5,107.04000091552734,105.83999633789062,106.87999725341797,1866300,0,1
2015-02-11,106.66999816894531,107.19000244140625,106.37000274658203,106.93000030517578,2184600,0,1
2015-02-12,107.47000122070312,107.98999786376953,107.2699966430664,107.95999908447266,4443400,0,1
2015-02-13,108.0,108.4800033569336,107.91999816894531,108.47000122070312,3147700,0,1
2015-02-17,108.37000274658203,108.76000213623047,108.12999725341797,108.63999938964844,4147000,0,1
2015-02-18,108.41999816894531,108.75,108.2699966430664,108.69999694824219,2542600,0,1
2015-02-19,108.38999938964844,108.87999725341797,108.26000213623047,108.66999816894531,2349000,0,1
2015-02-20,108.47000122070312,109.31999969482422,108.01000213623047,109.27999877929688,2402600,0,1
2015-02-23,109.16999816894531,109.2699966430664,108.86000061035156,109.2699966430664,3034000,0,1
