,adjclose,EMA12
2018-08-01,271.2104797363281,271.2104797363281
2018-08-02,272.6879577636719,271.4377840482272
2018-08-03,273.8563232421875,271.80986700114414
2018-08-06,274.8606262207031,272.27921457338397
2018-08-07,275.7682800292969,272.81599387429367
2018-08-08,275.65240478515625,273.25236478365713
2018-08-09,275.27587890625,273.5636746486714
2018-08-10,273.4314880371094,273.54333824689263
2018-08-13,272.40789794921875,273.3686551241736
2018-08-14,274.1460266113281,273.48825073758195
2018-08-15,272.0989074707031,273.2745056196006
2018-08-16,274.3005676269531,273.43236131303945
2018-08-17,275.2661437988281,273.7144816954685
2018-08-20,275.855224609375,274.04382675914644
2018-08-21,276.5022277832031,274.42204230130903
2018-08-22,276.33807373046875,274.7168163673336
2018-08-23,275.9710998535156,274.9097830575155
2018-08-24,277.6319885253906,275.32858389872706
2018-08-27,279.8240051269531,276.020187164608
2018-08-28,279.959228515625,276.6261935263029
2018-08-29,281.46563720703125,277.37072332333804
2018-08-30,280.326171875,277.8254077159014
2018-08-31,280.3357849121094,278.2116195922411
2018-09-04,279.8529968261719,278.464139166692
2018-09-05,279.0997619628906,278.5619272891841
2018-09-06,278.25970458984375,278.51543148928556
2018-09-07,277.7189636230469,278.3928979714027
2018-09-10,278.20172119140625,278.36348615909554
2018-09-11,279.11907958984375,278.4797313022876
2018-09-12,279.18670654296875,278.58849672393086
2018-09-13,280.8379211425781,278.9345620191074
2018-09-14,280.88623046875,279.23481870366777
2018-09-17,279.3991394042969,279.2600988114569
2018-09-18,280.91522216796875,279.5147331739972
2018-09-19,281.21453857421875,279.77624169710816
2018-09-20,283.4934997558594,280.34812755230064
2018-09-21,283.2344665527344,280.7921797062135
2018-09-24,282.2935485839844,281.0231595335629
2018-09-25,282.0316467285156,281.17831140970947
2018-09-26,281.187744140625,281.1797625990811
2018-09-27,281.97344970703125,281.3018683079965
2018-09-28,282.00250244140625,281.4096581746749
2018-10-01,282.9822998046875,281.6516030408307
2018-10-02,282.8173522949219,281.83094907992165
2018-10-03,282.97259521484375,282.0065869468327
2018-10-04,280.7608947753906,281.8149419973801
2018-10-05,279.1894836425781,281.4110253274106
2018-10-08,279.1894836425781,281.0692496835902
2018-10-09,278.7821044921875,280.7173811926052
2018-10-10,269.9549865722656,279.0616281740914
2018-10-11,264.0087890625,276.74580677230813
2018-10-12,267.6754455566406,275.35036658528236
2018-10-15,266.1719055175781,273.9382956517894
2018-10-16,271.99200439453125,273.6388662275958
2018-10-17,272.0404968261719,273.39296324276137
2018-10-18,268.1119384765625,272.5804978941154
2018-10-19,267.9664306640625,271.8706413971842
2018-10-22,266.7635803222656,271.0849396933506
2018-10-23,265.4056091308594,270.2111965298904
2018-10-24,257.3641662597656,268.2347303344866
2018-10-25,261.9814147949219,267.2726817899382
2018-10-26,257.3738708496094,265.7497877991184
2018-10-29,255.9479522705078,264.2418131024091
2018-10-30,259.74072265625,263.54933764915387
2018-10-31,262.5149841308594,263.39020633864703
2018-11-01,265.3086242675781,263.6853475584826
2018-11-02,263.73724365234375,263.6933315729228
2018-11-05,265.1922302246094,263.9239313654899
2018-11-06,266.8703308105469,264.3772235878064
2018-11-07,272.583740234375,265.6397646103554
2018-11-08,272.0889892578125,266.6319530176565
2018-11-09,269.4311828613281,267.0626037628367
2018-11-12,264.39678955078125,266.65247849944353
2018-11-13,263.9020690917969,266.2293385905748
2018-11-14,262.09783935546875,265.5937233236354
2018-11-15,264.8332824707031,265.4767324231843
2018-11-16,265.5220031738281,265.48369715405255
2018-11-19,261.0308532714844,264.79864424904207
2018-11-20,256.2001647949219,263.4758012561005
2018-11-21,257.07318115234375,262.49078277859945
2018-11-23,255.35626220703125,261.3931642291274
2018-11-26,259.47882080078125,261.0986498555357
2018-11-27,260.351806640625,260.9837508993956
2018-11-28,266.3464660644531,261.8087840017122
2018-11-29,265.7644958496094,262.4173550552348
2018-11-30,267.3844299316406,263.1815204208357
2018-12-03,270.92498779296875,264.37282309347154
2018-12-04,262.1463623046875,264.0302906644278
2018-12-06,261.7486267089844,263.6792654405134
2018-12-07,255.66665649414062,262.44655637184064
