,Benchmark (SPY),All Weather,MPT (max sharpe),MPT (min volatility)
2018-07-23 00:00:00+00:00,1.001859338,1,1,1
2018-07-24 00:00:00+00:00,1.006900718,1,0.999909875,0.999937785
2018-07-25 00:00:00+00:00,1.015482041,1,1.00951758,1.001956518
2018-07-26 00:00:00+00:00,1.013086398,1,1.008212565,1.000833365
2018-07-27 00:00:00+00:00,1.00622147,1,1.00101234,1.000170618
2018-07-30 00:00:00+00:00,1.000965459,1,0.99712909,0.998338568
2018-07-31 00:00:00+00:00,1.005899578,1,1.000302975,1.000068895
2018-08-01 00:00:00+00:00,1.004219081,0.99994063,0.996229925,0.995679685
2018-08-02 00:00:00+00:00,1.009689724,1.00249716,1.002147825,0.998082865
2018-08-03 00:00:00+00:00,1.014016067,1.006385914,1.00555058,1.000865438
2018-08-06 00:00:00+00:00,1.017734633,1.007808377,1.009509975,1.002219515
2018-08-07 00:00:00+00:00,1.021095516,1.00714659,1.01374128,1.001822568
2018-08-08 00:00:00+00:00,1.020666472,1.006694357,1.01034769,1.001500958
2018-08-09 00:00:00+00:00,1.019272078,1.009824274,1.008918075,1.003140125
2018-08-10 00:00:00+00:00,1.012442831,1.011447837,1.00394169,1.005122698
2018-08-13 00:00:00+00:00,1.008652794,1.007899948,0.99977439,1.003806428
2018-08-14 00:00:00+00:00,1.015088678,1.009026613,1.005333065,1.004466555
2018-08-15 00:00:00+00:00,1.007508603,1.006520033,0.99440399,1.003334528
2018-08-16 00:00:00+00:00,1.015660773,1.009304131,1.00220378,1.005128228
2018-08-17 00:00:00+00:00,1.019236288,1.011949457,1.006005165,1.006413005
2018-08-20 00:00:00+00:00,1.021417409,1.016201477,1.007912275,1.009230175
2018-08-21 00:00:00+00:00,1.023812943,1.01610544,1.01127424,1.009065948
2018-08-22 00:00:00+00:00,1.023205166,1.019300461,1.01457139,1.011434498
2018-08-23 00:00:00+00:00,1.021846453,1.018493047,1.012604715,1.010855275
2018-08-24 00:00:00+00:00,1.027996343,1.02307116,1.019225815,1.012789645
2018-08-27 00:00:00+00:00,1.036112723,1.02314786,1.02579449,1.012780898
2018-08-28 00:00:00+00:00,1.036613347,1.01966594,1.025393725,1.010955435
2018-08-29 00:00:00+00:00,1.042191142,1.022944823,1.03206028,1.012513118
2018-08-30 00:00:00+00:00,1.037971951,1.02232045,1.028331875,1.012952355
2018-08-31 00:00:00+00:00,1.038007742,1.02154459,1.02890178,1.013259338
2018-09-04 00:00:00+00:00,1.036219984,1.016411783,1.0264891,1.009383338
2018-09-05 00:00:00+00:00,1.033431087,1.014257166,1.023013561,1.00842122
2018-09-06 00:00:00+00:00,1.030320406,1.01482214,1.019566039,1.00901549
2018-09-07 00:00:00+00:00,1.028318127,1.010001959,1.017846652,1.005350519
2018-09-10 00:00:00+00:00,1.030105884,1.012428892,1.020211891,1.006429
2018-09-11 00:00:00+00:00,1.033502558,1.01066315,1.024506151,1.004988559
2018-09-12 00:00:00+00:00,1.03375287,1.012938641,1.02550681,1.006367409
2018-09-13 00:00:00+00:00,1.03986697,1.013979577,1.028501512,1.006483768
2018-09-14 00:00:00+00:00,1.040045811,1.011088801,1.028368519,1.004806909
2018-09-17 00:00:00+00:00,1.034539488,1.009452997,1.02255697,1.003688709
2018-09-18 00:00:00+00:00,1.040153072,1.006927456,1.02856225,1.002225689
2018-09-19 00:00:00+00:00,1.041261473,1.005141251,1.029525589,1.001419269
2018-09-20 00:00:00+00:00,1.049699636,1.009609781,1.036440349,1.002953419
2018-09-21 00:00:00+00:00,1.044014581,1.008857453,1.035853552,1.003220529
2018-09-24 00:00:00+00:00,1.040546327,1.007680434,1.03459201,1.002730408
2018-09-25 00:00:00+00:00,1.039580977,1.00725642,1.034418289,1.0020551
2018-09-26 00:00:00+00:00,1.036470296,1.008543563,1.030334941,1.0034406
2018-09-27 00:00:00+00:00,1.039366455,1.009242467,1.03305322,1.004199219
