,Benchmark (SPY),Constant-Rebalancing (Equal weights),MPT (max sharpe),MPT (min volatility)
2018-07-23 00:00:00+00:00,1.001859338,1,1,1
2018-07-24 00:00:00+00:00,1.006900718,1,0.99987639,0.999884755
2018-07-25 00:00:00+00:00,1.015482041,1,1.005645495,1.005671849
2018-07-26 00:00:00+00:00,1.013086398,1,1.010054323,1.010672205
2018-07-27 00:00:00+00:00,1.00622147,1,1.008121803,1.009109201
2018-07-30 00:00:00+00:00,1.000965459,1,1.006037116,1.006824664
2018-07-31 00:00:00+00:00,1.005899578,1,1.011776529,1.011909027
2018-08-01 00:00:00+00:00,1.004219081,0.99990851,1.008858184,1.007122123
2018-08-02 00:00:00+00:00,1.009689724,1.002365814,1.011891171,1.010207751
2018-08-03 00:00:00+00:00,1.014016067,1.00843943,1.020296898,1.017983315
2018-08-06 00:00:00+00:00,1.017734633,1.01151749,1.022261362,1.020671702
2018-08-07 00:00:00+00:00,1.021095516,1.013549814,1.022264602,1.021289938
2018-08-08 00:00:00+00:00,1.020666472,1.011011253,1.018589328,1.018068471
2018-08-09 00:00:00+00:00,1.019272078,1.010721394,1.016879317,1.016486889
2018-08-10 00:00:00+00:00,1.012442831,1.003759133,1.010584817,1.010290549
2018-08-13 00:00:00+00:00,1.008652794,0.999828468,1.007530742,1.006247678
2018-08-14 00:00:00+00:00,1.015088678,1.005965791,1.01313585,1.012191455
2018-08-15 00:00:00+00:00,1.007508603,0.998947615,1.013079432,1.009629878
2018-08-16 00:00:00+00:00,1.015660773,1.007157949,1.025003322,1.020946105
2018-08-17 00:00:00+00:00,1.019236288,1.010916716,1.030299182,1.02556816
2018-08-20 00:00:00+00:00,1.021417409,1.013711536,1.031090429,1.026747751
2018-08-21 00:00:00+00:00,1.023812943,1.014795119,1.028302909,1.024900599
2018-08-22 00:00:00+00:00,1.023205166,1.012680083,1.023507379,1.021323029
2018-08-23 00:00:00+00:00,1.021846453,1.010174196,1.020919307,1.018602259
2018-08-24 00:00:00+00:00,1.027996343,1.016867589,1.024285542,1.022248145
2018-08-27 00:00:00+00:00,1.036112723,1.023191485,1.027394771,1.025804767
2018-08-28 00:00:00+00:00,1.036613347,1.022802178,1.026641532,1.024986249
2018-08-29 00:00:00+00:00,1.042191142,1.027773627,1.029428727,1.028511887
2018-08-30 00:00:00+00:00,1.037971951,1.022851821,1.025727031,1.024557602
2018-08-31 00:00:00+00:00,1.038007742,1.021290179,1.024158865,1.022923571
2018-09-04 00:00:00+00:00,1.036219984,1.018225626,1.024738138,1.024459966
2018-09-05 00:00:00+00:00,1.033431087,1.019417208,1.031354628,1.029925625
2018-09-06 00:00:00+00:00,1.030320406,1.017264189,1.032708441,1.029229611
2018-09-07 00:00:00+00:00,1.028318127,1.013730713,1.028447068,1.024146314
2018-09-10 00:00:00+00:00,1.030105884,1.016045525,1.028983386,1.026352735
2018-09-11 00:00:00+00:00,1.033502558,1.018951842,1.028025966,1.026871499
2018-09-12 00:00:00+00:00,1.03375287,1.019980588,1.029189135,1.027133905
2018-09-13 00:00:00+00:00,1.03986697,1.024987678,1.038071209,1.030532918
2018-09-14 00:00:00+00:00,1.040045811,1.024100764,1.034823004,1.029402967
2018-09-17 00:00:00+00:00,1.034539488,1.021872916,1.033996852,1.029017044
2018-09-18 00:00:00+00:00,1.040153072,1.025713122,1.036384391,1.030800154
2018-09-19 00:00:00+00:00,1.041261473,1.02532528,1.030830331,1.027969488
2018-09-20 00:00:00+00:00,1.049699636,1.033030106,1.038381073,1.034736861
2018-09-21 00:00:00+00:00,1.044014581,1.027536579,1.033474751,1.028662583
2018-09-24 00:00:00+00:00,1.040546327,1.02087313,1.028395237,1.020322153
2018-09-25 00:00:00+00:00,1.039580977,1.018487211,1.022572074,1.015419087
2018-09-26 00:00:00+00:00,1.036470296,1.014135029,1.018325931,1.008536612
2018-09-27 00:00:00+00:00,1.039366455,1.016346169,1.023497934,1.011238597
2018-09-28 00:00:00+00:00,1.039473716,1.017270831,1.028968013,1.013874223
2018-10-01 00:00:00+00:00,1.043085021,1.019860232,1.030184424,1.014481872
2018-10-02 00:00:00+00:00,1.042477135,1.020630672,1.031115466,1.017002852
2018-10-03 00:00:00+00:00,1.043049231,1.019076194,1.027486484,1.014579445
2018-10-04 00:00:00+00:00,1.034897061,1.013043332,1.019625272,1.013319456
2018-10-05 00:00:00+00:00,1.029104744,1.009953772,1.020463504,1.014728659
2018-10-08 00:00:00+00:00,1.029104744,1.0127448,1.021812306,1.020937625
2018-10-09 00:00:00+00:00,1.02760298,1.009424488,1.023654352,1.021886553
2018-10-10 00:00:00+00:00,0.995065772,0.982047781,1.002256204,1.000397694
2018-10-11 00:00:00+00:00,0.973147957,0.96045465,0.976308512,0.975324159
2018-10-12 00:00:00+00:00,0.986663399,0.969525758,0.988874904,0.980202856
2018-10-15 00:00:00+00:00,0.981121285,0.967171145,0.984067206,0.979367744
2018-10-16 00:00:00+00:00,1.002574375,0.984863532,1.008237624,0.994000459
2018-10-17 00:00:00+00:00,1.002753216,0.98369814,1.012661526,0.995277675
2018-10-18 00:00:00+00:00,0.988272315,0.973216053,1.00320885,0.987817824
2018-10-19 00:00:00+00:00,0.98773601,0.974539853,0.99868269,0.99318516
2018-10-22 00:00:00+00:00,0.983302406,0.968428312,0.990738784,0.983564742
2018-10-23 00:00:00+00:00,0.978296598,0.962615056,0.98582985,0.977657143
2018-10-24 00:00:00+00:00,0.948655657,0.941694329,0.962192112,0.967870263
2018-10-25 00:00:00+00:00,0.965675034,0.954594692,0.97050517,0.97377005
2018-10-26 00:00:00+00:00,0.948691338,0.937920975,0.95822207,0.957010728
2018-10-29 00:00:00+00:00,0.943435327,0.936103343,0.96250165,0.961711377
2018-10-30 00:00:00+00:00,0.957415604,0.951967312,0.972452864,0.975150598
2018-10-31 00:00:00+00:00,0.967641633,0.957109694,0.971574168,0.975382105
