,Benchmark (SPY),Sentimental SPY
2018-07-23 00:00:00+00:00,1.001859338,1
2018-07-24 00:00:00+00:00,1.006900718,1
2018-07-25 00:00:00+00:00,1.015482041,1
2018-07-26 00:00:00+00:00,1.013086398,1
2018-07-27 00:00:00+00:00,1.00622147,1
2018-07-30 00:00:00+00:00,1.000965459,0.999982235
2018-07-31 00:00:00+00:00,1.005899578,1.004881822
2018-08-01 00:00:00+00:00,1.004219081,1.003211912
2018-08-02 00:00:00+00:00,1.009689724,1.008651555
2018-08-03 00:00:00+00:00,1.014016067,1.012950685
2018-08-06 00:00:00+00:00,1.017734633,1.016645805
2018-08-07 00:00:00+00:00,1.021095516,1.019982072
2018-08-08 00:00:00+00:00,1.020666472,1.019555712
2018-08-09 00:00:00+00:00,1.019272078,1.018173595
2018-08-10 00:00:00+00:00,1.012442831,1.011387365
2018-08-13 00:00:00+00:00,1.008652794,1.007615925
2018-08-14 00:00:00+00:00,1.015088678,1.012115224
2018-08-15 00:00:00+00:00,1.007508603,1.006813104
2018-08-16 00:00:00+00:00,1.015660773,1.012515384
2018-08-17 00:00:00+00:00,1.019236288,1.015016384
2018-08-20 00:00:00+00:00,1.021417409,1.016539115
2018-08-21 00:00:00+00:00,1.023812943,1.01749244
2018-08-22 00:00:00+00:00,1.023205166,1.017251615
2018-08-23 00:00:00+00:00,1.021846453,1.016710115
2018-08-24 00:00:00+00:00,1.027996343,1.019161115
2018-08-27 00:00:00+00:00,1.036112723,1.02238909
2018-08-28 00:00:00+00:00,1.036613347,1.022439145
2018-08-29 00:00:00+00:00,1.042191142,1.022992945
2018-08-30 00:00:00+00:00,1.037971951,1.02257369
2018-08-31 00:00:00+00:00,1.038007742,1.02257724
2018-09-04 00:00:00+00:00,1.036219984,1.02239095
2018-09-05 00:00:00+00:00,1.033431087,1.02074281
2018-09-06 00:00:00+00:00,1.030320406,1.018906613
2018-09-07 00:00:00+00:00,1.028318127,1.017723333
2018-09-10 00:00:00+00:00,1.030105884,1.018774578
2018-09-11 00:00:00+00:00,1.033502558,1.019782416
2018-09-12 00:00:00+00:00,1.03375287,1.019856756
2018-09-13 00:00:00+00:00,1.03986697,1.021672776
2018-09-14 00:00:00+00:00,1.040045811,1.021726938
2018-09-17 00:00:00+00:00,1.034539488,1.020081656
2018-09-18 00:00:00+00:00,1.040153072,1.024496166
2018-09-19 00:00:00+00:00,1.041261473,1.025367266
2018-09-20 00:00:00+00:00,1.049699636,1.031996056
