Date,MPT (Max Sharpe),Benchmark (SPY),MR200-5-2020,MR50-10-64,MR50-10-1983,MR20-10-2020,MR50-10-1985,MR50-10-85,MR20-10-850,MV200-5-244,MV200-5-1055
2018-07-23 00:00:00+00:00,,,,,,,,,,,
2018-07-24 00:00:00+00:00,,,,,,,,,,,
2018-07-25 00:00:00+00:00,,,,,,,,,,,
2018-07-26 00:00:00+00:00,,,,,,,,,,,
2018-07-27 00:00:00+00:00,,,,,,,,,,,
2018-07-30 00:00:00+00:00,,,,,,,,,,,
2018-07-31 00:00:00+00:00,,,,,,,,,,,
2018-08-01 00:00:00+00:00,,,,,,,,,,,
2018-08-02 00:00:00+00:00,,,,,,,,,,,
2018-08-03 00:00:00+00:00,,,,,,,,,,,
2018-08-06 00:00:00+00:00,,,,,,,,,,,
2018-08-07 00:00:00+00:00,,,,,,,,,,,
2018-08-08 00:00:00+00:00,,,,,,,,,,,
2018-08-09 00:00:00+00:00,,,,,,,,,,,
2018-08-10 00:00:00+00:00,,,,,,,,,,,
2018-08-13 00:00:00+00:00,,,,,,,,,,,
2018-08-14 00:00:00+00:00,,,,,,,,,,,
2018-08-15 00:00:00+00:00,,,,,,,,,,,
2018-08-16 00:00:00+00:00,,,,,,,,,,,
2018-08-17 00:00:00+00:00,,,,,,,,,,,
2018-08-20 00:00:00+00:00,,,,,,,,,,,
2018-08-21 00:00:00+00:00,,,,,,,,,,,
2018-08-22 00:00:00+00:00,,,,,,,,,,,
2018-08-23 00:00:00+00:00,,,,,,,,,,,
2018-08-24 00:00:00+00:00,,,,,,,,,,,
2018-08-27 00:00:00+00:00,,,,,,,,,,,
2018-08-28 00:00:00+00:00,,,,,,,,,,,
2018-08-29 00:00:00+00:00,,,,,,,,,,,
2018-08-30 00:00:00+00:00,,,,,,,,,,,
2018-08-31 00:00:00+00:00,,,,,,,,,,,
2018-09-04 00:00:00+00:00,,,,,,,,,,,
2018-09-05 00:00:00+00:00,,,,,,,,,,,
2018-09-06 00:00:00+00:00,,,,,,,,,,,
2018-09-07 00:00:00+00:00,,,,,,,,,,,
2018-09-10 00:00:00+00:00,,,,,,,,,,,
2018-09-11 00:00:00+00:00,,,,,,,,,,,
2018-09-12 00:00:00+00:00,,,,,,,,,,,
2018-09-13 00:00:00+00:00,,,,,,,,,,,
2018-09-14 00:00:00+00:00,,,,,,,,,,,
2018-09-17 00:00:00+00:00,,,,,,,,,,,
2018-09-18 00:00:00+00:00,,,,,,,,,,,
2018-09-19 00:00:00+00:00,,,,,,,,,,,
2018-09-20 00:00:00+00:00,,,,,,,,,,,
2018-09-21 00:00:00+00:00,,,,,,,,,,,
2018-09-24 00:00:00+00:00,,,,,,,,,,,
2018-09-25 00:00:00+00:00,,,,,,,,,,,
2018-09-26 00:00:00+00:00,,,,,,,,,,,
2018-09-27 00:00:00+00:00,,,,,,,,,,,
2018-09-28 00:00:00+00:00,,,,,,,,,,,
2018-10-01 00:00:00+00:00,,,,,,,,,,,
2018-10-02 00:00:00+00:00,,,,,,,,,,,
2018-10-03 00:00:00+00:00,,,,,,,,,,,
2018-10-04 00:00:00+00:00,,,,,,,,,,,
2018-10-05 00:00:00+00:00,,,,,,,,,,,
2018-10-08 00:00:00+00:00,,,,,,,,,,,
2018-10-09 00:00:00+00:00,,,,,,,,,,,
2018-10-10 00:00:00+00:00,,,,,,,,,,,
2018-10-11 00:00:00+00:00,,,,,,,,,,,
2018-10-12 00:00:00+00:00,,,,,,,,,,,
2018-10-15 00:00:00+00:00,,,,,,,,,,,
2018-10-16 00:00:00+00:00,,,,,,,,,,,
2018-10-17 00:00:00+00:00,,,,,,,,,,,
2018-10-18 00:00:00+00:00,,,,,,,,,,,
2018-10-19 00:00:00+00:00,,,,,,,,,,,
2018-10-22 00:00:00+00:00,,,,,,,,,,,
2018-10-23 00:00:00+00:00,,,,,,,,,,,
2018-10-24 00:00:00+00:00,,,,,,,,,,,
2018-10-25 00:00:00+00:00,,,,,,,,,,,
2018-10-26 00:00:00+00:00,,,,,,,,,,,
2018-10-29 00:00:00+00:00,,,,,,,,,,,
2018-10-30 00:00:00+00:00,,,,,,,,,,,
2018-10-31 00:00:00+00:00,,,,,,,,,,,
2018-11-01 00:00:00+00:00,,,,,,,,,,,
2018-11-02 00:00:00+00:00,,,,,,,,,,,
2018-11-05 00:00:00+00:00,,,,,,,,,,,
2018-11-06 00:00:00+00:00,,,,,,,,,,,
2018-11-07 00:00:00+00:00,,,,,,,,,,,
2018-11-08 00:00:00+00:00,,,,,,,,,,,
2018-11-09 00:00:00+00:00,,,,,,,,,,,
2018-11-12 00:00:00+00:00,,,,,,,,,,,
2018-11-13 00:00:00+00:00,,,,,,,,,,,
2018-11-14 00:00:00+00:00,,,,,,,,,,,
2018-11-15 00:00:00+00:00,,,,,,,,,,,
2018-11-16 00:00:00+00:00,,,,,,,,,,,
2018-11-19 00:00:00+00:00,,,,,,,,,,,
2018-11-20 00:00:00+00:00,,,,,,,,,,,
2018-11-21 00:00:00+00:00,,,,,,,,,,,
2018-11-23 00:00:00+00:00,,,,,,,,,,,
2018-11-26 00:00:00+00:00,,,,,,,,,,,
2018-11-27 00:00:00+00:00,,,,,,,,,,,
2018-11-28 00:00:00+00:00,,,,,,,,,,,
2018-11-29 00:00:00+00:00,,,,,,,,,,,
2018-11-30 00:00:00+00:00,,,,,,,,,,,
2018-12-03 00:00:00+00:00,,,,,,,,,,,
2018-12-04 00:00:00+00:00,,,,,,,,,,,
2018-12-06 00:00:00+00:00,,,,,,,,,,,
2018-12-07 00:00:00+00:00,,,,,,,,,,,
2018-12-10 00:00:00+00:00,,,,,,,,,,,
2018-12-11 00:00:00+00:00,,,,,,,,,,,
2018-12-12 00:00:00+00:00,,,,,,,,,,,
2018-12-13 00:00:00+00:00,,,,,,,,,,,
2018-12-14 00:00:00+00:00,,,,,,,,,,,
2018-12-17 00:00:00+00:00,,,,,,,,,,,
2018-12-18 00:00:00+00:00,,,,,,,,,,,
2018-12-19 00:00:00+00:00,,,,,,,,,,,
2018-12-20 00:00:00+00:00,,,,,,,,,,,
2018-12-21 00:00:00+00:00,,,,,,,,,,,
2018-12-24 00:00:00+00:00,,,,,,,,,,,
2018-12-26 00:00:00+00:00,,,,,,,,,,,
2018-12-27 00:00:00+00:00,,,,,,,,,,,
2018-12-28 00:00:00+00:00,,,,,,,,,,,
2018-12-31 00:00:00+00:00,,,,,,,,,,,
2019-01-02 00:00:00+00:00,,,,,,,,,,,
2019-01-03 00:00:00+00:00,,,,,,,,,,,
2019-01-04 00:00:00+00:00,,,,,,,,,,,
2019-01-07 00:00:00+00:00,,,,,,,,,,,
2019-01-08 00:00:00+00:00,,,,,,,,,,,
2019-01-09 00:00:00+00:00,,,,,,,,,,,
2019-01-10 00:00:00+00:00,,,,,,,,,,,
2019-01-11 00:00:00+00:00,,,,,,,,,,,
2019-01-14 00:00:00+00:00,,,,,,,,,,,
2019-01-15 00:00:00+00:00,,,,,,,,,,,
2019-01-16 00:00:00+00:00,,,,,,,,,,,
2019-01-17 00:00:00+00:00,,,,,,,,,,,
2019-01-18 00:00:00+00:00,,,,,,,,,,,
2019-01-22 00:00:00+00:00,,,,,,,,,,,
